,Differenzdrucksensor_37,Differenzdrucksensor_37,Motionsensor/Reedsensor_72,Motionsensor/Reedsensor_72,SFA30_93,SFA30_93,SFA30_93,Gyroskop_104,Gyroskop_104,Gyroskop_105,Gyroskop_105,Sen66_107,Sen66_107,Sen66_107,Sen66_107,Sen66_107,Sen66_107,Sen66_107,Sen66_107,Sen66_107
,DifferentialPressure,Temp,Motion,DoorOpen,Hcho,Rm,Temp,TiltAngle,OpenAngle,TiltAngle,OpenAngle,PM1p0,PM2p5,PM4p0,PM10p0,Rh,temp,voc,nox,co2
Time,Pa,C,Bool,Bool,ppb,%,C,angle degree,angle degree,angle degree,angle degree,mass concentration ppm,mass concentration ppm,mass concentration ppm,mass concentration ppm,%,C,0-500,0-100,ppm
2025-07-31T11:32:32.781999,3.1702628693798927,23.691948426358497,False,False,20.8,52.51,22.7,,-4.310876281688841,,-0.03481465157440021,6553.5,6553.5,6553.5,6553.5,44.51,25.07,0.0,3276.7,65535.0
2025-07-31T11:32:33.308311,3.470905172413793,23.69425287356322,True,False,20.2,52.54,22.68,,-6.258254000584331,,-0.0953975623524826,6553.5,6553.5,6553.5,6553.5,44.51,25.07,0.0,3276.7,65535.0
2025-07-31T11:32:34.122170,3.338559941520468,23.693333333333335,True,False,20.2,52.54,22.69,,-6.203676444927958,,-0.10550174952946244,6553.5,6553.5,6553.5,6553.5,44.51,25.07,0.0,3276.7,65535.0
2025-07-31T11:32:35.078556,3.2073009950248754,23.692149253731344,False,False,20.2,52.54,22.7,,-6.082720268808599,,-0.1301717176269939,0.0,0.0,0.0,0.0,44.51,25.07,0.0,3276.7,65535.0
2025-07-31T11:32:36.076143,3.341474543707973,23.690129682997117,False,False,20.4,52.54,22.73,,-6.084286877006961,,-0.1301717176269939,0.0,0.0,0.0,0.0,44.51,25.07,0.0,3276.7,65535.0
2025-07-31T11:32:37.074387,3.1549927113702623,23.6934693877551,False,False,20.4,52.54,22.71,,-6.174337550514365,,-0.1301717176269939,0.0,0.0,0.0,0.0,44.51,25.07,0.0,3276.7,65535.0
2025-07-31T11:32:38.075514,3.1956671415004747,23.68957264957265,False,False,20.4,52.54,22.68,,-6.24072929470752,,-0.1301717176269939,15.3,17.4,18.8,19.4,44.51,25.07,0.0,3276.7,482.0
2025-07-31T11:32:39.075856,3.160912129894938,23.69083094555874,True,False,20.2,52.52,22.7,,-6.205215221971604,,-0.1301717176269939,17.3,19.8,21.3,22.0,44.51,25.07,0.0,3276.7,482.0
2025-07-31T11:32:40.134771,3.3225589225589225,23.6910101010101,True,False,20.0,52.53,22.71,,-6.206268838740799,,-0.24612437496582232,18.9,21.6,23.3,24.0,44.51,25.07,0.0,0.0,482.0
2025-07-31T11:32:41.084279,3.154787234042553,23.689863221884497,True,False,20.2,52.54,22.71,,-6.473846194312931,,-0.2651276397657758,20.6,23.5,25.3,26.1,44.51,25.07,0.0,0.0,482.0
2025-07-31T11:32:42.081679,3.046623563218391,23.69058908045977,False,False,20.2,52.54,22.72,,-6.525041585042943,,-0.2651276397657758,27.3,31.2,33.6,34.7,44.5,25.07,0.0,0.0,482.0
2025-07-31T11:32:43.088531,3.177424463937622,23.693523391812864,False,False,20.2,52.53,22.71,,-6.6159672935201765,,-0.2651276397657758,30.3,34.6,37.2,38.4,44.5,25.07,0.0,0.0,488.0
2025-07-31T11:32:44.083667,3.3242149758454107,23.688608695652174,False,False,20.2,52.52,22.7,,-6.617123467919783,,-0.2651276397657758,32.3,37.0,39.7,41.0,44.5,25.07,0.0,0.0,495.0
2025-07-31T11:32:45.085029,3.146836198662846,23.69022922636103,False,False,20.0,52.53,22.7,,-6.6714636647013155,,-0.2651276397657758,33.7,38.5,41.4,42.7,44.5,25.07,0.0,0.0,501.0
2025-07-31T11:32:46.147794,3.275807823129252,23.68954081632653,False,False,20.0,52.53,22.7,,-6.873357979136251,,-0.11689455444456572,34.4,39.3,42.3,43.7,44.5,25.07,0.0,0.0,508.0
2025-07-31T11:32:47.085254,3.0811197916666666,23.691265625,False,False,20.0,52.53,22.7,,-7.013988574061488,,-0.09464473571449739,38.2,43.7,47.0,48.5,44.5,25.07,0.0,0.0,515.0
2025-07-31T11:32:48.086485,2.972319688109162,23.69301169590643,False,False,20.0,52.54,22.71,,-6.981630252287391,,-0.09464473571449739,39.0,44.5,47.9,49.5,44.5,25.07,0.0,0.0,505.0
2025-07-31T11:32:49.086726,3.0526603498542273,23.69354227405248,False,False,20.0,52.53,22.7,,-6.961101832182049,,-0.09464473571449739,40.0,45.7,49.1,50.8,44.5,25.06,0.0,0.0,495.0
